channel,fetched_at,source_url,external_product_id,brand_name,product_name,model_code,detail_url,thumbnail_url,feature_tags_json,offer_count,rating,review_count,order_count,ranking_rank,metadata_json
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012501,청호,토타 R 냉온정 정수기,WP-50S90010M,https://rentre.kr/product/1522012501,https://cdn.rentre.kr/product-thumbnail/a3e9f01736e141e48b3d14aa88934351.png,"[""냉수"",""온수"",""정수""]",1,4.5,2,0,,"{""sections"":[""main_list""],""badges"":[""타사보상 혜택""],""rating"":4.5,""reviewCount"":2,""orderCount"":0,""expectDiscountRate"":19,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":20900,""brandCode"":""CHUNGHO"",""rentalCompany"":""청호""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600002246,쿠쿠,"대용량 초고온수 냉온정 얼음정수기 (스탠드형, 역삼투압필터)",CP-ACSR1620SW,https://rentre.kr/product/1600002246,https://cdn.rentre.kr/product-thumbnail/b4d9eb4ad25c40cb818680a9f15b050a.png,"[""얼음"",""냉수"",""온수"",""정수""]",1,4.4,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":4.4,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":58900,""brandCode"":""CUCKOO"",""rentalCompany"":""쿠쿠""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:3120101,코웨이,프라임 1.0 정수기,CHP-264L,https://rentre.kr/product/3120101,https://cdn.rentre.kr/product-thumbnail/CO48-T-1.png,"[""정수""]",1,5,1,10,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":10,""expectDiscountRate"":56,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":15000,""isHalfPricePromotion"":true,""promoDurationMonths"":12,""postPromoMonthlyFee"":28900,""brandCode"":""COWAY"",""rentalCompany"":""코웨이""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600003599,세스코,스마트핏 더슬림 냉온정 스탠드 정수기,EWBS351,https://rentre.kr/product/1600003599,https://cdn.rentre.kr/product-thumbnail/842dbb1bfb6945c3ab847731f49465fb.png,"[""냉수"",""온수"",""정수""]",1,4.7,2,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":4.7,""reviewCount"":2,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":false,""affiliateCardDiscountAmount"":null,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":25900,""brandCode"":""CESCO"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600003446,삼성,비스포크 정수전용 언더싱크 정수기 (일체형 파우셋),RWP54120BF6M,https://rentre.kr/product/1600003446,https://cdn.rentre.kr/product-thumbnail/91598124b3f44286ab9a4d0308c1a5ec.png,"[""정수""]",1,0,0,10,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":10,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":19800,""brandCode"":""SAMSUNG"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:2070101,SK인텔릭스,매직 언더싱크 정수기,WPU9100CREWH,https://rentre.kr/product/2070101,https://cdn.rentre.kr/product-thumbnail/9af4dbe2a19b450d8c87651dae7ddde3.png,"[""정수""]",1,0,0,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":7000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":18900,""brandCode"":""SK"",""rentalCompany"":""SK인텔릭스""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600006051,교원웰스,슬림원 냉온정 정수기 (살균+),WS674,https://rentre.kr/product/1600006051,https://cdn.rentre.kr/product-thumbnail/78f49104b6df4d5ba8e9340c9889a069.png,"[""냉수"",""온수"",""정수""]",1,5,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":50,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":11000,""isHalfPricePromotion"":true,""promoDurationMonths"":12,""postPromoMonthlyFee"":28900,""brandCode"":""KYOWON"",""rentalCompany"":""교원웰스""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012456,현대큐밍,더퓨어 알파 냉온정 정수기 (데스크형),HQPA50CE0B,https://rentre.kr/product/1522012456,https://cdn.rentre.kr/product-thumbnail/d85776aa6a5245489fe296805905193b.png,"[""냉수"",""온수"",""정수""]",1,3.4,2,10,,"{""sections"":[""main_list""],""badges"":[],""rating"":3.4,""reviewCount"":2,""orderCount"":10,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":21900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600001762,청호,아이스트리 플리 냉온정 정수기,WP-60C90511M,https://rentre.kr/product/1600001762,https://cdn.rentre.kr/product-thumbnail/6cb934cc9c6544b09ba169535f471eec.png,"[""냉수"",""온수"",""정수""]",2,0,0,0,,"{""sections"":[""main_list""],""badges"":[""타사보상 혜택""],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":57,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":true,""promoDurationMonths"":6,""postPromoMonthlyFee"":31900,""brandCode"":""CHUNGHO"",""rentalCompany"":""청호""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522011436,현대큐밍,더퓨어 마크업 중용량,HQPM50SW0C,https://rentre.kr/product/1522011436,https://cdn.rentre.kr/product-thumbnail/238c600815bf4438840bee5a0e3b27e3.png,[],1,3.8,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":3.8,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":23,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":26900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
