channel,fetched_at,source_url,external_product_id,external_offer_id,brand_name,product_name,model_code,product_detail_url,offer_url,public_monthly_fee,card_applied_monthly_fee,contract_term_months,management_type,promo_duration_months,post_promo_monthly_fee,support_pricing_model,support_amount,support_amount_min,support_amount_max,rating,review_count,order_count,ranking_rank,feature_tags_json,metadata_json
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WD120M,ajd:42953:55145,LG전자,LG 퓨리케어 오브제컬렉션 라이트온 정수기 (정수전용),WD120M,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,24900,0,60,visit,,,hidden,,,,,15,,4,"[""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":15,""textBadges"":[""위생기능 7위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42953,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":4,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월관리"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WD120M,ajd:42953:55147,LG전자,LG 퓨리케어 오브제컬렉션 라이트온 정수기 (정수전용),WD120M,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,21900,0,60,self,,,hidden,,,,,15,,4,"[""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":15,""textBadges"":[""위생기능 7위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42953,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":4,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월필터발송"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WD120M,ajd:42953:55159,LG전자,LG 퓨리케어 오브제컬렉션 라이트온 정수기 (정수전용),WD120M,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,21900,0,72,visit,,,hidden,,,,,15,,4,"[""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":15,""textBadges"":[""위생기능 7위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42953,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":4,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월관리"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WD120M,ajd:42953:55161,LG전자,LG 퓨리케어 오브제컬렉션 라이트온 정수기 (정수전용),WD120M,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,18900,0,72,self,,,hidden,,,,,15,,4,"[""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":15,""textBadges"":[""위생기능 7위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42953,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":4,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월필터발송"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU523A_오브제,ajd:42949:66333,LG전자,LG 퓨리케어 빌트인 정수기 오브제 (냉온정),WU523A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,39900,9900,60,visit,,,hidden,,,,,31,,5,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":31,""textBadges"":[""위생기능 8위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42949,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":5,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월관리"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU523A_오브제,ajd:42949:66335,LG전자,LG 퓨리케어 빌트인 정수기 오브제 (냉온정),WU523A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,36900,6900,60,self,,,hidden,,,,,31,,5,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":31,""textBadges"":[""위생기능 8위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42949,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":5,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월필터발송"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU523A_오브제,ajd:42949:66347,LG전자,LG 퓨리케어 빌트인 정수기 오브제 (냉온정),WU523A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,36900,6900,72,visit,,,hidden,,,,,31,,5,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":31,""textBadges"":[""위생기능 8위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42949,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":5,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월관리"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU523A_오브제,ajd:42949:66349,LG전자,LG 퓨리케어 빌트인 정수기 오브제 (냉온정),WU523A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,33900,3900,72,self,,,hidden,,,,,31,,5,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":31,""textBadges"":[""위생기능 8위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42949,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":5,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6개월필터발송"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU923AS,ajd:2712:66202,LG전자,LG 퓨리케어 빌트인 듀얼 정수기 (냉온정),WU923AS,https://www.ajd.co.kr/electronics/overview/4020/detail/2712,https://www.ajd.co.kr/electronics/overview/4020/detail/2712,47900,17900,48,visit,,,hidden,,,,,115,,6,"[""정수"",""냉수"",""온수"",""살균수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":115,""textBadges"":[""위생기능 10위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":2712,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":""★1년동안 1만원 할인 프로모션 적용!""},""offerMetadata"":{""rankingRank"":6,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_6개월관리"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":30000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU923AS,ajd:2712:66204,LG전자,LG 퓨리케어 빌트인 듀얼 정수기 (냉온정),WU923AS,https://www.ajd.co.kr/electronics/overview/4020/detail/2712,https://www.ajd.co.kr/electronics/overview/4020/detail/2712,44900,14900,48,self,,,hidden,,,,,115,,6,"[""정수"",""냉수"",""온수"",""살균수""]","{""productMetadata"":{""totalScore"":92.3,""reviewCount"":115,""textBadges"":[""위생기능 10위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":2712,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":""★1년동안 1만원 할인 프로모션 적용!""},""offerMetadata"":{""rankingRank"":6,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_6개월필터발송"",""companyName"":""LG전자"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":30000}}"
